text,href,tag_type
ð¥Artisan,https://go.coldiq.com/artisan,https://cdn.prod.website-files.com/5ff75c18fc5ef3eb28dd5ad6/6673ef99b05aa4ef618ccff9_Artisan-AI.png
ð¥ Unify,https://go.coldiq.com/unify,https://cdn.prod.website-files.com/5ff75c18fc5ef3eb28dd5ad6/666989a6de5aaa3c37fa549a_Unify.jpeg
ð¥ Common Room,https://go.coldiq.com/commonroom,https://cdn.prod.website-files.com/5ff75c18fc5ef3eb28dd5ad6/6592a4b47186680090094138_Common-Room.avif
Clay,http://coldiq.com/tools/clay,https://cdn.prod.website-files.com/5ff75c18fc5ef3eb28dd5ad6/63e0c0938b6096515e528a84_Clay.avif
Octave,https://go.coldiq.com/octave,https://cdn.prod.website-files.com/5ff75c18fc5ef3eb28dd5ad6/660dab39c0a237ba0b533b48_Octave.jpeg
Relevance AI,https://go.coldiq.com/relevance-ai,https://cdn.prod.website-files.com/5ff75c18fc5ef3eb28dd5ad6/65c60bdae9299ef30f344a4d_Relevance-ai.avif
Bardeen Agent,https://go.coldiq.com/bardeen,https://cdn.prod.website-files.com/5ff75c18fc5ef3eb28dd5ad6/6443f8d212cafd119893b15c_Bardeen.jpeg
Trigify,https://go.coldiq.com/trigify,https://cdn.prod.website-files.com/5ff75c18fc5ef3eb28dd5ad6/65760a06396cdcb6103b688d_Trigify.avif
11x,https://go.coldiq.com/11x,https://cdn.prod.website-files.com/5ff75c18fc5ef3eb28dd5ad6/66295e31805b003cc1e34fe9_11x.jpeg
CustomGPT,https://go.coldiq.com/customgpt,https://cdn.prod.website-files.com/5ff75c18fc5ef3eb28dd5ad6/665ab50204b7d9cbbc77920e_Custom-GPT.png
Superagent,https://go.coldiq.com/superagent,https://cdn.prod.website-files.com/5ff75c18fc5ef3eb28dd5ad6/6613e486ed074b2f2efa202c_superagent%20(1).jpeg
Spell,https://go.coldiq.com/spell,https://cdn.prod.website-files.com/5ff75c18fc5ef3eb28dd5ad6/64fa952e3dc59b592a44d776_Spell-so.jpeg
Lindy,https://go.coldiq.com/lindy,https://cdn.prod.website-files.com/5ff75c18fc5ef3eb28dd5ad6/65531c5c8b8f5caf6726224a_Lindy.jpeg
Topo,https://go.coldiq.com/topo,https://cdn.prod.website-files.com/5ff75c18fc5ef3eb28dd5ad6/659ec7dfa8f8673e54baf1e8_Topo.jpg
Overloop.ai,https://go.coldiq.com/overloop.ai,https://cdn.prod.website-files.com/5ff75c18fc5ef3eb28dd5ad6/66bb40084c9a541664ffca34_overloop-ai.svg
Actively AI,https://go.coldiq.com/actively,https://cdn.prod.website-files.com/5ff75c18fc5ef3eb28dd5ad6/6661235d84e6c3f2f340b610_Actively-AI.png
Induced,https://go.coldiq.com/induced,https://cdn.prod.website-files.com/5ff75c18fc5ef3eb28dd5ad6/665542089531dcf5bef3288c_InducedAI.jpeg
Agent AI,https://go.coldiq.com/agent-ai,https://cdn.prod.website-files.com/5ff75c18fc5ef3eb28dd5ad6/66ec3497f6fa0ad9b6699493_agent-ai.avif
Bella,https://go.coldiq.com/bella,https://cdn.prod.website-files.com/5ff75c18fc5ef3eb28dd5ad6/666223049f83e815b1dd7724_Bella.jpeg
Botsonic,https://go.coldiq.com/botsonic,https://cdn.prod.website-files.com/5ff75c18fc5ef3eb28dd5ad6/6681b6ead5585e21412a248d_Botsonic.jpg
Leadmatic,https://go.coldiq.com/leadmatic,https://cdn.prod.website-files.com/5ff75c18fc5ef3eb28dd5ad6/66818b880b84fa9ff5cc0a2f_leadmatic.jpg
EmailFlow.ai,https://go.coldiq.com/emailflow,https://cdn.prod.website-files.com/5ff75c18fc5ef3eb28dd5ad6/66c54803238a7b6f180a1f94_EmailFlow.avif
Mindpal,https://go.coldiq.com/mindpal,https://cdn.prod.website-files.com/5ff75c18fc5ef3eb28dd5ad6/66c54926c7ee9775988b2ebe_MindPal.jpg
GPTBots.ai,https://go.coldiq.com/gptbots,https://cdn.prod.website-files.com/5ff75c18fc5ef3eb28dd5ad6/66c54a153fe7cd245670aea8_GPTBots.jpg
Lyzr,https://go.coldiq.com/lyzr,https://cdn.prod.website-files.com/5ff75c18fc5ef3eb28dd5ad6/66c54b061c2b23cf076ca804_lyzr.avif
Uman,https://go.coldiq.com/uman,https://cdn.prod.website-files.com/5ff75c18fc5ef3eb28dd5ad6/66da9ac5a90fb1518232a6be_Uman.jpeg
