name,website url,img url,category
 Common Room,https://go.coldiq.com/commonroom,https://cdn.prod.website-files.com/5ff75c18fc5ef3eb28dd5ad6/6592a4b47186680090094138_Common-Room.avif,"AI Deal Intelligence, AI Visitor Identification, AI Sales Workflow"
,,,
,,,
 Glencoco,https://go.coldiq.com/glencoco,https://cdn.prod.website-files.com/5ff75c18fc5ef3eb28dd5ad6/656e5c91ae03c0b13dac7ca1_Glencoco.avif,"AI Cold Caller, AI Sales Enablement"
,,,
 HubSpot,https://go.coldiq.com/hubspot,https://cdn.prod.website-files.com/5ff75c18fc5ef3eb28dd5ad6/66818e7842278743f100d36d_HubSpot.jpg,AI CRM
 Instantly,https://go.coldiq.com/instantly,https://cdn.prod.website-files.com/5ff75c18fc5ef3eb28dd5ad6/634c438529d4e1f11b65b577_Instantly.avif,"[""AI Visitor Identification""]"
 Octave,https://go.coldiq.com/octave,https://cdn.prod.website-files.com/5ff75c18fc5ef3eb28dd5ad6/660dab39c0a237ba0b533b48_Octave.jpeg,AI ICP Analysis
 Relevance AI,https://go.coldiq.com/relevance-ai,https://cdn.prod.website-files.com/5ff75c18fc5ef3eb28dd5ad6/65c60bdae9299ef30f344a4d_Relevance-ai.avif,AI BDR
 Unify,https://go.coldiq.com/unify,https://cdn.prod.website-files.com/5ff75c18fc5ef3eb28dd5ad6/666989a6de5aaa3c37fa549a_Unify.jpeg,"AI Sales Assistant, AI Multichannel Outreach"
,,,
11x,https://go.coldiq.com/11x,https://cdn.prod.website-files.com/5ff75c18fc5ef3eb28dd5ad6/66295e31805b003cc1e34fe9_11x.jpeg,"AI Agents, AI BDR"
,,,
1up,https://go.coldiq.com/1up,https://cdn.prod.website-files.com/5ff75c18fc5ef3eb28dd5ad6/65645d788f99234fc0a4be0e_1up.avif,AI Sales Assistant
247ChatApp,https://go.coldiq.com/247chatapp,https://cdn.prod.website-files.com/5ff75c18fc5ef3eb28dd5ad6/6681a8bf5d234412f75ac8c8_247%20chatapp.jpg,AI Sales Chatbots
6Sense,https://go.coldiq.com/6sense,https://cdn.prod.website-files.com/5ff75c18fc5ef3eb28dd5ad6/64275b246c28f46627d81347_6Sense.jpg,"AI Sales Extension, AI Visitor Identification"
,,,
7Targets,https://go.coldiq.com/7targets,https://cdn.prod.website-files.com/5ff75c18fc5ef3eb28dd5ad6/65a83625a4e4a9c0e5d2f498_7Targets.jpg,AI Sales Assistant
Accent,https://go.coldiq.com/accent,https://cdn.prod.website-files.com/5ff75c18fc5ef3eb28dd5ad6/65a82856d38d35165227b9a5_Accent.png,"AI Sales Assistant, AI Sales Enablement"
,,,
ActiveIQ,https://go.coldiq.com/activeconversion,https://cdn.prod.website-files.com/5ff75c18fc5ef3eb28dd5ad6/65a65ff0565ca7bde0bf1edb_ActiveIQ.avif,AI Sales Funnel
Actively AI,https://go.coldiq.com/actively,https://cdn.prod.website-files.com/5ff75c18fc5ef3eb28dd5ad6/6661235d84e6c3f2f340b610_Actively-AI.png,"AI Agents, AI BDR"
,,,
Advisr,https://go.coldiq.com/advisr,https://cdn.prod.website-files.com/5ff75c18fc5ef3eb28dd5ad6/668189e1bc7b3552e6cc2c0a_advisr.jpg,AI Proposal
